Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
2;40;0.0223;0.0;6;27;1600;0;1488;0;112;1
3;40;0.0223;0.0;6;33;1600;0;1540;0;60;1
4;40;0.0223;0.0;6;39;1600;0;1562;0;38;1
5;40;0.0223;0.0;6;45;1600;0;1590;0;10;1
6;40;0.0223;0.0;6;51;1600;0;1587;0;13;1
7;40;0.0223;0.0;6;57;1600;0;1588;0;12;1
8;40;0.0223;0.0;6;63;1600;0;1597;0;3;1
9;40;0.0223;0.0;6;69;1600;0;1600;0;0;1
0;40;0.0224;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0224;0.0;6;21;1600;0;1370;0;230;1
2;40;0.0224;0.0;6;27;1600;0;1473;0;127;1
3;40;0.0224;0.0;6;33;1600;0;1529;0;71;1
4;40;0.0224;0.0;6;39;1600;0;1561;0;39;1
5;40;0.0224;0.0;6;45;1600;0;1575;0;25;1
6;40;0.0224;0.0;6;51;1600;0;1594;0;6;1
7;40;0.0224;0.0;6;57;1600;0;1594;0;6;1
8;40;0.0224;0.0;6;63;1600;0;1594;0;6;1
9;40;0.0224;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0225;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0225;0.0;6;21;1600;0;1291;0;309;1
2;40;0.0225;0.0;6;27;1600;0;1494;0;106;1
3;40;0.0225;0.0;6;33;1600;0;1546;0;54;1
4;40;0.0225;0.0;6;39;1600;0;1555;0;45;1
5;40;0.0225;0.0;6;45;1600;0;1572;0;28;1
6;40;0.0225;0.0;6;51;1600;0;1586;0;14;1
7;40;0.0225;0.0;6;57;1600;0;1590;0;10;1
8;40;0.0225;0.0;6;63;1600;0;1598;0;2;1
9;40;0.0225;0.0;6;69;1600;0;1598;0;2;1
0;40;0.0226;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0226;0.0;6;21;1600;0;1362;0;238;1
2;40;0.0226;0.0;6;27;1600;0;1473;0;127;1
3;40;0.0226;0.0;6;33;1600;0;1540;0;60;1
4;40;0.0226;0.0;6;39;1600;0;1570;0;30;1
5;40;0.0226;0.0;6;45;1600;0;1583;0;17;1
6;40;0.0226;0.0;6;51;1600;0;1593;0;7;1
7;40;0.0226;0.0;6;57;1600;0;1596;0;4;1
8;40;0.0226;0.0;6;63;1600;0;1595;0;5;1
9;40;0.0226;0.0;6;69;1600;0;1596;0;4;1
0;40;0.0227;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0227;0.0;6;21;1600;0;1253;0;347;1
2;40;0.0227;0.0;6;27;1600;0;1491;0;109;1
3;40;0.0227;0.0;6;33;1600;0;1549;0;51;1
4;40;0.0227;0.0;6;39;1600;0;1567;0;33;1
5;40;0.0227;0.0;6;45;1600;0;1585;0;15;1
6;40;0.0227;0.0;6;51;1600;0;1588;0;12;1
7;40;0.0227;0.0;6;57;1600;0;1592;0;8;1
8;40;0.0227;0.0;6;63;1600;0;1597;0;3;1
9;40;0.0227;0.0;6;69;1600;0;1596;0;4;1
0;40;0.0228;0.0;6;15;1600;0;794;0;806;0
1;40;0.0228;0.0;6;21;1600;0;1308;0;292;1
2;40;0.0228;0.0;6;27;1600;0;1491;0;109;1
3;40;0.0228;0.0;6;33;1600;0;1555;0;45;1
4;40;0.0228;0.0;6;39;1600;0;1567;0;33;1
5;40;0.0228;0.0;6;45;1600;0;1581;0;19;1
6;40;0.0228;0.0;6;51;1600;0;1586;0;14;1
7;40;0.0228;0.0;6;57;1600;0;1595;0;5;1
8;40;0.0228;0.0;6;63;1600;0;1598;0;2;1
9;40;0.0228;0.0;6;69;1600;0;1598;0;2;1
0;40;0.0229;0.0;6;15;1600;0;862;0;738;1
1;40;0.0229;0.0;6;21;1600;0;1344;0;256;1
2;40;0.0229;0.0;6;27;1600;0;1506;0;94;1
3;40;0.0229;0.0;6;33;1600;0;1529;0;71;1
4;40;0.0229;0.0;6;39;1600;0;1565;0;35;1
5;40;0.0229;0.0;6;45;1600;0;1582;0;18;1
6;40;0.0229;0.0;6;51;1600;0;1587;0;13;1
7;40;0.0229;0.0;6;57;1600;0;1591;0;9;1
8;40;0.0229;0.0;6;63;1600;0;1589;0;11;1
9;40;0.0229;0.0;6;69;1600;0;1598;0;2;1
0;40;0.023;0.0;6;15;1600;0;847;0;753;1
1;40;0.023;0.0;6;21;1600;0;1041;0;559;1
2;40;0.023;0.0;6;27;1600;0;1502;0;98;1
3;40;0.023;0.0;6;33;1600;0;1558;0;42;1
4;40;0.023;0.0;6;39;1600;0;1576;0;24;1
5;40;0.023;0.0;6;45;1600;0;1591;0;9;1
6;40;0.023;0.0;6;51;1600;0;1592;0;8;1
7;40;0.023;0.0;6;57;1600;0;1595;0;5;1
8;40;0.023;0.0;6;63;1600;0;1594;0;6;1
9;40;0.023;0.0;6;69;1600;0;1598;0;2;1
